trade_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2015-01-05,600000.SH,2015-01-05,15.88,16.25,15.56,16.07,15.69,0.38,2.42,5135687.09,8182820.911
2015-01-06,600000.SH,2015-01-06,16.0,16.68,15.82,16.13,16.07,0.06,0.37,5116845.35,8311084.82
2015-01-07,600000.SH,2015-01-07,15.9,16.17,15.53,15.81,16.13,-0.32,-1.98,3857168.2,6114241.1
2015-01-08,600000.SH,2015-01-08,15.87,15.88,15.2,15.25,15.81,-0.56,-3.54,3306271.72,5101310.595
2015-01-09,600000.SH,2015-01-09,15.2,16.25,15.11,15.43,15.25,0.18,1.18,4919999.37,7692348.549
2015-01-12,600000.SH,2015-01-12,15.5,15.71,14.95,15.22,15.43,-0.21,-1.36,3677872.69,5625726.993
2015-01-13,600000.SH,2015-01-13,15.13,15.41,15.1,15.18,15.22,-0.04,-0.26,1784049.56,2712026.682
2015-01-14,600000.SH,2015-01-14,15.31,15.79,15.31,15.49,15.18,0.31,2.04,3090188.55,4812472.304
2015-01-15,600000.SH,2015-01-15,15.49,16.15,15.39,16.12,15.49,0.63,4.07,3298268.49,5216166.778
2015-01-16,600000.SH,2015-01-16,16.24,16.75,16.16,16.47,16.12,0.35,2.17,4802458.87,7938757.902
2015-01-19,600000.SH,2015-01-19,15.38,15.73,14.82,14.82,16.47,-1.65,-10.02,6235208.8,9496942.743
2015-01-20,600000.SH,2015-01-20,14.88,15.17,14.58,15.0,14.82,0.18,1.21,4792157.41,7142638.836
2015-01-21,600000.SH,2015-01-21,15.1,15.87,14.81,15.74,15.0,0.74,4.93,4875403.69,7489943.294
2015-01-22,600000.SH,2015-01-22,15.73,15.76,15.35,15.63,15.74,-0.11,-0.7,2947382.61,4592022.934
2015-01-23,600000.SH,2015-01-23,15.74,16.04,15.54,15.63,15.63,0.0,0.0,3200429.92,5044685.774
2015-01-26,600000.SH,2015-01-26,15.56,15.59,15.13,15.43,15.63,-0.2,-1.28,2685669.22,4122351.608
2015-01-27,600000.SH,2015-01-27,15.44,15.44,14.75,15.01,15.43,-0.42,-2.72,3519140.1,5286301.699
2015-01-28,600000.SH,2015-01-28,14.82,15.11,14.66,14.81,15.01,-0.2,-1.33,2422030.54,3592645.043
2015-01-29,600000.SH,2015-01-29,14.58,14.68,14.32,14.42,14.81,-0.39,-2.63,2669680.83,3864614.152
2015-01-30,600000.SH,2015-01-30,14.58,14.69,14.36,14.47,14.42,0.05,0.35,2078653.27,3021747.775
2015-02-02,600000.SH,2015-02-02,14.06,14.26,13.99,14.04,14.47,-0.43,-2.97,2116176.77,2989272.548
2015-02-03,600000.SH,2015-02-03,14.21,14.46,14.02,14.45,14.04,0.41,2.92,1962635.69,2792706.733
2015-02-04,600000.SH,2015-02-04,14.5,14.59,14.12,14.18,14.45,-0.27,-1.87,1678962.19,2421384.723
2015-02-05,600000.SH,2015-02-05,14.75,14.8,14.17,14.18,14.18,0.0,0.0,3943326.92,5742890.408
2015-02-06,600000.SH,2015-02-06,14.09,14.32,13.95,14.09,14.18,-0.09,-0.63,1865475.22,2637143.942
2015-02-09,600000.SH,2015-02-09,14.06,14.27,13.85,14.16,14.09,0.07,0.5,2245855.11,3155932.084
2015-02-10,600000.SH,2015-02-10,14.15,14.48,14.08,14.43,14.16,0.27,1.91,1836935.13,2629916.39
2015-02-11,600000.SH,2015-02-11,14.43,14.54,14.31,14.42,14.43,-0.01,-0.07,1241270.97,1789572.963
2015-02-12,600000.SH,2015-02-12,14.42,14.43,14.11,14.35,14.42,-0.07,-0.49,1489541.52,2121808.297
2015-02-13,600000.SH,2015-02-13,14.5,14.67,14.35,14.43,14.35,0.08,0.56,2083668.1,3023274.166
2015-02-16,600000.SH,2015-02-16,14.43,14.46,14.26,14.4,14.43,-0.03,-0.21,1392200.24,1995677.496
2015-02-17,600000.SH,2015-02-17,14.42,14.58,14.41,14.47,14.4,0.07,0.49,1206652.63,1747213.085
2015-02-25,600000.SH,2015-02-25,14.48,14.5,14.18,14.28,14.47,-0.19,-1.31,1409325.83,2025174.378
2015-02-26,600000.SH,2015-02-26,14.25,14.68,14.11,14.62,14.28,0.34,2.38,2150139.78,3104052.166
2015-02-27,600000.SH,2015-02-27,14.6,14.8,14.48,14.53,14.62,-0.09,-0.62,1956068.7,2861206.457
2015-03-02,600000.SH,2015-03-02,14.58,14.58,14.36,14.48,14.53,-0.05,-0.34,2187632.76,3159377.729
2015-03-03,600000.SH,2015-03-03,14.44,14.44,13.98,14.0,14.48,-0.48,-3.31,2663724.15,3766071.237
2015-03-04,600000.SH,2015-03-04,14.05,14.07,13.85,13.91,14.0,-0.09,-0.64,1565959.95,2183814.569
2015-03-05,600000.SH,2015-03-05,13.84,13.84,13.51,13.58,13.91,-0.33,-2.37,2265045.8,3090569.665
2015-03-06,600000.SH,2015-03-06,13.58,13.78,13.54,13.63,13.58,0.05,0.37,1280363.67,1750570.352
2015-03-09,600000.SH,2015-03-09,13.81,14.7,13.61,14.51,13.63,0.88,6.46,4348014.76,6170955.159
2015-03-10,600000.SH,2015-03-10,14.32,14.37,14.07,14.1,14.51,-0.41,-2.83,2548447.64,3623305.559
2015-03-11,600000.SH,2015-03-11,14.17,14.56,14.17,14.25,14.1,0.15,1.06,2150697.22,3087509.382
2015-03-12,600000.SH,2015-03-12,14.65,15.56,14.58,15.12,14.25,0.87,6.11,6327818.77,9512030.471
2015-03-13,600000.SH,2015-03-13,15.19,15.8,15.08,15.29,15.12,0.17,1.12,4401783.79,6789040.866
2015-03-16,600000.SH,2015-03-16,15.56,15.61,15.2,15.47,15.29,0.18,1.18,3161166.67,4867224.356
2015-03-17,600000.SH,2015-03-17,15.6,15.68,15.36,15.54,15.47,0.07,0.45,3096776.45,4797833.475
2015-03-18,600000.SH,2015-03-18,15.57,15.88,15.43,15.88,15.54,0.34,2.19,3546551.38,5558613.435
2015-03-19,600000.SH,2015-03-19,15.88,15.89,15.58,15.64,15.88,-0.24,-1.51,3167709.12,4978776.033
2015-03-20,600000.SH,2015-03-20,15.62,16.09,15.37,15.75,15.64,0.11,0.7,4565312.22,7180731.346
2015-03-23,600000.SH,2015-03-23,15.82,16.04,15.77,15.91,15.75,0.16,1.02,3575927.4,5692415.845
2015-03-24,600000.SH,2015-03-24,15.89,16.0,15.6,15.69,15.91,-0.22,-1.38,3246575.42,5114146.783
2015-03-25,600000.SH,2015-03-25,15.6,15.72,15.15,15.24,15.69,-0.45,-2.87,3317303.32,5108990.851
2015-03-26,600000.SH,2015-03-26,15.15,15.58,15.04,15.36,15.24,0.12,0.79,2823407.13,4326755.744
2015-03-27,600000.SH,2015-03-27,15.32,15.55,15.17,15.36,15.36,0.0,0.0,2181749.78,3350088.365
2015-03-30,600000.SH,2015-03-30,15.55,16.2,15.44,16.02,15.36,0.66,4.3,4874426.6,7735007.517
2015-03-31,600000.SH,2015-03-31,16.48,16.58,15.74,15.79,16.02,-0.23,-1.44,4940492.54,7990395.333
2015-04-01,600000.SH,2015-04-01,15.79,16.14,15.75,15.95,15.79,0.16,1.01,3058783.83,4868332.118
2015-04-02,600000.SH,2015-04-02,16.3,16.38,15.87,16.18,15.95,0.23,1.44,4100876.52,6611462.332
2015-04-03,600000.SH,2015-04-03,16.0,16.29,15.93,16.2,16.18,0.02,0.12,3203615.07,5171219.071
2015-04-07,600000.SH,2015-04-07,16.5,16.87,16.45,16.71,16.2,0.51,3.15,5022602.03,8372655.104
2015-04-08,600000.SH,2015-04-08,16.73,17.04,16.45,17.02,16.71,0.31,1.86,5148163.75,8633478.02
2015-04-09,600000.SH,2015-04-09,17.05,17.48,16.8,16.87,17.02,-0.15,-0.88,4973354.58,8497436.086
2015-04-10,600000.SH,2015-04-10,16.86,17.57,16.76,17.53,16.87,0.66,3.91,4515434.45,7772119.507
2015-04-13,600000.SH,2015-04-13,17.99,18.48,17.62,18.03,17.53,0.5,2.85,5814065.95,10470524.484
2015-04-14,600000.SH,2015-04-14,18.03,18.04,17.56,17.89,18.03,-0.14,-0.78,3728370.61,6640484.668
2015-04-15,600000.SH,2015-04-15,17.8,18.45,17.71,17.96,17.89,0.07,0.39,4496439.05,8170773.646
2015-04-16,600000.SH,2015-04-16,17.97,18.67,17.85,18.65,17.96,0.69,3.84,4159845.73,7577393.009
2015-04-17,600000.SH,2015-04-17,18.95,19.05,18.47,18.6,18.65,-0.05,-0.27,4901593.21,9167362.86
2015-04-20,600000.SH,2015-04-20,18.72,18.72,17.6,17.9,18.6,-0.7,-3.76,5724358.09,10446728.565
2015-04-21,600000.SH,2015-04-21,17.75,18.19,17.75,18.16,17.9,0.26,1.45,3681946.81,6615540.644
2015-04-22,600000.SH,2015-04-22,18.3,18.55,18.08,18.5,18.16,0.34,1.87,4207667.43,7712130.682
2015-04-23,600000.SH,2015-04-23,18.5,18.64,18.11,18.22,18.5,-0.28,-1.51,3635936.31,6675541.987
2015-04-24,600000.SH,2015-04-24,17.8,18.03,17.46,17.68,18.22,-0.54,-2.96,4229271.09,7509013.285
2015-04-27,600000.SH,2015-04-27,17.72,18.25,17.72,18.17,17.68,0.49,2.77,3845414.12,6942247.859
2015-04-28,600000.SH,2015-04-28,18.24,19.0,18.0,18.3,18.17,0.13,0.72,6000539.9,11100683.779
2015-04-29,600000.SH,2015-04-29,18.27,18.66,18.06,18.53,18.3,0.23,1.26,3583937.31,6591914.895
2015-04-30,600000.SH,2015-04-30,18.28,18.46,18.05,18.07,18.53,-0.46,-2.48,4127605.22,7523663.257
2015-05-04,600000.SH,2015-05-04,18.0,18.0,17.6,17.81,18.07,-0.26,-1.44,2580645.65,4597698.886
2015-05-05,600000.SH,2015-05-05,17.73,17.75,16.85,17.08,17.81,-0.73,-4.1,3753864.37,6483575.96
2015-05-06,600000.SH,2015-05-06,17.08,17.51,16.97,17.06,17.08,-0.02,-0.12,3036078.77,5225100.162
2015-05-07,600000.SH,2015-05-07,17.03,17.28,16.98,17.07,17.06,0.01,0.06,2143907.03,3674226.153
2015-05-08,600000.SH,2015-05-08,17.19,17.3,16.82,17.11,17.07,0.04,0.23,1845600.0,3151167.765
2015-05-11,600000.SH,2015-05-11,16.98,17.31,16.79,17.27,17.11,0.16,0.94,2771534.27,4711900.631
2015-05-12,600000.SH,2015-05-12,17.25,17.4,17.04,17.24,17.27,-0.03,-0.17,2191763.41,3768388.795
2015-05-13,600000.SH,2015-05-13,17.33,17.39,16.9,17.07,17.24,-0.17,-0.99,2452444.98,4198950.106
2015-05-14,600000.SH,2015-05-14,17.1,17.25,16.94,16.99,17.07,-0.08,-0.47,1923619.49,3283133.222
2015-05-15,600000.SH,2015-05-15,16.91,17.07,16.59,16.78,16.99,-0.21,-1.24,2095972.67,3526291.462
2015-05-18,600000.SH,2015-05-18,16.62,16.76,16.34,16.38,16.78,-0.4,-2.38,1875552.04,3106379.587
2015-05-19,600000.SH,2015-05-19,16.37,17.09,16.35,17.04,16.38,0.66,4.03,2422512.71,4080429.264
2015-05-20,600000.SH,2015-05-20,17.04,17.49,16.97,17.15,17.04,0.11,0.65,2656757.17,4567803.884
2015-05-21,600000.SH,2015-05-21,17.25,17.4,17.1,17.32,17.15,0.17,0.99,1664034.83,2873100.257
2015-05-22,600000.SH,2015-05-22,17.46,17.79,17.34,17.76,17.32,0.44,2.54,2480875.43,4379120.076
2015-05-25,600000.SH,2015-05-25,17.85,18.18,17.84,18.14,17.76,0.38,2.14,2738747.63,4942207.005
2015-05-26,600000.SH,2015-05-26,18.22,18.45,17.91,18.39,18.14,0.25,1.38,3016652.97,5504873.384
2015-05-27,600000.SH,2015-05-27,18.44,18.65,18.05,18.07,18.39,-0.32,-1.74,2969423.07,5444651.111
2015-05-28,600000.SH,2015-05-28,18.1,18.14,17.01,17.04,18.07,-1.03,-5.7,3340322.1,5908534.663
2015-05-29,600000.SH,2015-05-29,17.08,17.35,16.71,17.04,17.04,0.0,0.0,2560873.15,4370819.052
2015-06-01,600000.SH,2015-06-01,17.04,18.08,16.86,17.93,17.04,0.89,5.22,2863792.55,5015007.44
2015-06-02,600000.SH,2015-06-02,17.93,17.97,17.5,17.84,17.93,-0.09,-0.5,2249355.35,4001574.466
2015-06-03,600000.SH,2015-06-03,17.89,18.05,17.54,17.9,17.84,0.06,0.34,2441396.88,4338757.668
2015-06-04,600000.SH,2015-06-04,18.0,18.8,17.58,18.63,17.9,0.73,4.08,4718649.28,8635099.296
2015-06-05,600000.SH,2015-06-05,19.0,19.17,18.02,18.43,18.63,-0.2,-1.07,3624201.55,6742853.974
2015-06-17,600000.SH,2015-06-17,18.49,18.98,17.95,18.2,18.43,-0.23,-1.25,5131186.52,9419105.681
2015-06-18,600000.SH,2015-06-18,18.09,18.25,17.64,17.72,18.2,-0.48,-2.64,2782967.31,4980064.847
2015-06-19,600000.SH,2015-06-19,17.58,17.95,16.84,17.07,17.72,-0.65,-3.67,2780902.21,4894778.628
2015-06-23,600000.SH,2015-06-23,16.45,17.09,16.24,17.02,16.31,0.71,4.35,2977488.88,4966949.468
2015-06-24,600000.SH,2015-06-24,17.03,17.3,16.58,17.25,17.02,0.23,1.35,2578253.17,4364353.264
2015-06-25,600000.SH,2015-06-25,17.6,17.74,16.65,16.71,17.25,-0.54,-3.13,2716490.32,4704733.126
2015-06-26,600000.SH,2015-06-26,16.43,17.08,15.33,15.85,16.71,-0.86,-5.15,3617767.3,5893832.505
2015-06-29,600000.SH,2015-06-29,16.3,16.53,14.81,15.91,15.85,0.06,0.38,4206756.91,6723071.04
2015-06-30,600000.SH,2015-06-30,15.93,16.98,15.91,16.96,15.91,1.05,6.6,3754112.7,6204981.732
